Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_VERB	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Gen	verbs_mood_dist_Ind	verbs_mood_dist_Pot	verbs_form_dist_Conv	verbs_form_dist_Part	verbs_form_dist_Vnoun	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Gen	aux_mood_dist_Ind	aux_form_dist_Conv	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advmod	dep_dist_advmod:emph	dep_dist_amod	dep_dist_case	dep_dist_cc	dep_dist_compound	dep_dist_compound:lvc	dep_dist_conj	dep_dist_cop	dep_dist_det	dep_dist_discourse	dep_dist_flat	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_punct	dep_dist_root	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
turkish_clean_11.conllu	1	15	15.0	5.615384615384615	6.666666666666667	0	13.333333333333334	6.666666666666667	6.666666666666667	0	40.0	6.666666666666667	0	0	13.333333333333334	6.666666666666667	0.7692307692307693	0	0	100.0	0	0	100.0	0	0	100.0	0	0	100.0	100.0	0	0	2.0	100.0	1.0	0	100.0	0	0	0	0	0	6.0	7.5	11.0	2.1666666666666665	11	0	0	0	0	0	0	100.0	0.0	6.666666666666667	13.333333333333334	0	6.666666666666667	0	6.666666666666667	0	0	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	0	13.333333333333334	6.666666666666667	0	0	6.666666666666667	13.333333333333334	6.666666666666667	50.0	50.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_12.conllu	1	27	27.0	5.5	18.51851851851852	0	0	0	11.11111111111111	3.7037037037037037	33.333333333333336	3.7037037037037037	3.7037037037037037	0	11.11111111111111	14.814814814814815	0.75	0	25.0	75.0	0	0	100.0	0	0	33.333333333333336	66.66666666666667	0	0	0	0	0	4.0	0.0	0.5	50.0	50.0	0	0	0	0	0	6.0	6.75	13.0	3.217391304347826	13	0	0	0	0	100.0	0.0	0	0	3.7037037037037037	0	0	11.11111111111111	0	11.11111111111111	7.407407407407407	0	14.814814814814815	0	3.7037037037037037	0	0	0	7.407407407407407	7.407407407407407	0	3.7037037037037037	3.7037037037037037	11.11111111111111	11.11111111111111	3.7037037037037037	0.0	100.0	33.333333333333336	66.66666666666667	1.0	100.0	0	0
turkish_clean_13.conllu	1	18	18.0	8.0	0	0	0	0	0	0	55.55555555555556	5.555555555555555	5.555555555555555	0	11.11111111111111	22.22222222222222	0.875	0	25.0	75.0	0	25.0	75.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	0	0	4.0	100.0	1.5	25.0	25.0	25.0	25.0	0	0	0	5.0	4.5	15.0	2.533333333333333	15	0	0	0	0	100.0	0.0	100.0	0.0	0	0	0	0	0	0	0	5.555555555555555	0	0	5.555555555555555	0	0	0	27.77777777777778	16.666666666666668	11.11111111111111	0	5.555555555555555	11.11111111111111	11.11111111111111	5.555555555555555	25.0	75.0	0.0	100.0	1.5	50.0	50.0	0
turkish_clean_14.conllu	1	15	15.0	6.416666666666667	0	6.666666666666667	0	0	13.333333333333334	0	26.666666666666668	0	0	0	20.0	33.333333333333336	0.75	0	0	100.0	0	0	100.0	0	0	0	100.0	0	0	0	0	0	5.0	100.0	0.4	60.0	40.0	0	0	0	0	0	4.0	3.0	7.0	2.6363636363636362	7	0	0	0	0	100.0	0.0	0	0	0	0	0	0	6.666666666666667	6.666666666666667	0	13.333333333333334	13.333333333333334	0	0	0	0	0	13.333333333333334	0	0	0	6.666666666666667	13.333333333333334	20.0	6.666666666666667	25.0	75.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_15.conllu	1	27	27.0	6.24	11.11111111111111	7.407407407407407	0	0	7.407407407407407	7.407407407407407	44.44444444444444	0	0	3.7037037037037037	7.407407407407407	11.11111111111111	0.76	0	0	100.0	0	0	100.0	0	0	50.0	50.0	0	0	0	0	0	3.0	100.0	1.3333333333333333	33.333333333333336	0	66.66666666666667	0	0	0	0	9.0	9.0	13.0	3.0416666666666665	13	1.0	2	100.0	0	100.0	0.0	100.0	0.0	0	0	0	11.11111111111111	7.407407407407407	7.407407407407407	3.7037037037037037	3.7037037037037037	14.814814814814815	0	7.407407407407407	0	0	0	14.814814814814815	7.407407407407407	7.407407407407407	0	3.7037037037037037	0	7.407407407407407	3.7037037037037037	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0	0
turkish_clean_16.conllu	1	16	16.0	6.2	12.5	6.25	0	0	0	6.25	43.75	6.25	0	0	6.25	18.75	0.8	0	33.333333333333336	66.66666666666667	0	0	100.0	0	0	0	100.0	0	0	0	0	0	3.0	100.0	1.6666666666666667	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	0	6.0	5.333333333333333	8.0	1.8571428571428572	8	1.0	1	100.0	0	100.0	0.0	0	0	0	0	0	12.5	6.25	0	0	6.25	0	0	12.5	0	0	0	12.5	12.5	0	0	12.5	12.5	6.25	6.25	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0	0
turkish_clean_17.conllu	1	31	31.0	7.285714285714286	3.225806451612903	6.451612903225806	3.225806451612903	3.225806451612903	3.225806451612903	3.225806451612903	41.935483870967744	0	3.225806451612903	3.225806451612903	9.67741935483871	19.35483870967742	0.7857142857142857	0	16.666666666666668	83.33333333333333	16.666666666666668	0	83.33333333333333	0	20.0	20.0	60.0	0	100.0	100.0	0	0	6.0	100.0	1.8333333333333333	50.0	0	16.666666666666668	16.666666666666668	0	0	16.666666666666668	5.0	5.166666666666667	21.0	3.5925925925925926	21	0	0	0	0	100.0	0.0	100.0	0.0	0	3.225806451612903	0	3.225806451612903	6.451612903225806	0	9.67741935483871	3.225806451612903	0	3.225806451612903	3.225806451612903	0	0	0	19.35483870967742	12.903225806451612	6.451612903225806	0	3.225806451612903	12.903225806451612	9.67741935483871	3.225806451612903	16.666666666666668	83.33333333333333	0.0	100.0	1.0	100.0	0	0
turkish_clean_18.conllu	1	17	17.0	8.4	11.764705882352942	0	0	5.882352941176471	0	0	52.94117647058823	0	0	0	11.764705882352942	17.647058823529413	0.9333333333333333	0	33.333333333333336	66.66666666666667	0	0	100.0	0	0	33.333333333333336	66.66666666666667	0	100.0	100.0	0	0	3.0	100.0	2.0	0	66.66666666666667	0	0	33.333333333333336	0	0	9.0	5.666666666666667	14.0	2.857142857142857	14	0	0	0	0	100.0	0.0	0	0	5.882352941176471	0	0	11.764705882352942	0	0	5.882352941176471	0	0	5.882352941176471	0	0	0	0	5.882352941176471	17.647058823529413	0	0	5.882352941176471	23.529411764705884	11.764705882352942	5.882352941176471	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0	0
turkish_clean_19.conllu	1	11	11.0	8.7	9.090909090909092	9.090909090909092	0	0	0	0	54.54545454545455	0	0	0	9.090909090909092	18.181818181818183	0.9	0	0	100.0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	7.0	5.5	3.0	1.3333333333333333	3	0	0	0	0	100.0	0.0	0	0	9.090909090909092	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	0	0	27.272727272727273	0	0	9.090909090909092	9.090909090909092	9.090909090909092	9.090909090909092	50.0	50.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_20.conllu	1	28	28.0	7.423076923076923	21.428571428571427	3.5714285714285716	0	0	7.142857142857143	3.5714285714285716	42.857142857142854	3.5714285714285716	0	0	7.142857142857143	10.714285714285714	0.8076923076923077	0	66.66666666666667	33.333333333333336	0	33.333333333333336	66.66666666666667	0	0	50.0	50.0	0	0	0	0	0	3.0	100.0	1.3333333333333333	0	66.66666666666667	33.333333333333336	0	0	0	0	8.0	9.333333333333334	17.0	2.6	17	0	0	0	0	100.0	0.0	0	0	3.5714285714285716	0	3.5714285714285716	17.857142857142858	3.5714285714285716	3.5714285714285716	0	0	0	0	10.714285714285714	0	0	0	10.714285714285714	21.428571428571427	0	0	3.5714285714285716	10.714285714285714	7.142857142857143	3.5714285714285716	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0	0
